const_i	keyword	login_status	search_type	party	plugin_id	result_hash
1	AfD	False	news	True	2.3324384599156054	0.9350891496097105
1	AfD	False	search	True	2.1818435879447726	0.8144847960082037
1	AfD	True	news	True	2.3180633349627615	0.9343498577274808
1	AfD	True	search	True	2.322219294733919	0.8122547991477773
1	Alexander Gauland	False	news	False	2.3324384599156054	0.881451577639944
1	Alexander Gauland	False	search	False	2.1818435879447726	0.7460155489948767
1	Alexander Gauland	True	news	False	2.3180633349627615	0.8929488609087196
1	Alexander Gauland	True	search	False	2.322219294733919	0.7533602403523678
1	Alice Weidel	False	news	False	2.3324384599156054	0.8959651669006848
1	Alice Weidel	False	search	False	2.1818435879447726	0.765389881897042
1	Alice Weidel	True	news	False	2.3180633349627615	0.884131727165977
1	Alice Weidel	True	search	False	2.322219294733919	0.7357217357252973
1	Angela Merkel	False	news	False	2.3324384599156054	0.9357506931032123
1	Angela Merkel	False	search	False	2.1818435879447726	0.7410695249744164
1	Angela Merkel	True	news	False	2.3180633349627615	0.9320405556522171
1	Angela Merkel	True	search	False	2.322219294733919	0.6988227615201351
1	Bündnis90/Die Grünen	False	news	True	2.3324384599156054	0.9625102640225975
1	Bündnis90/Die Grünen	False	search	True	2.1818435879447726	0.7534024205679739
1	Bündnis90/Die Grünen	True	news	True	2.3180633349627615	0.9734697908698858
1	Bündnis90/Die Grünen	True	search	True	2.322219294733919	0.7480844834383201
1	CDU	False	news	True	2.3324384599156054	0.9306184236336674
1	CDU	False	search	True	2.1818435879447726	0.7718448525584014
1	CDU	True	news	True	2.3180633349627615	0.9424033896760864
1	CDU	True	search	True	2.322219294733919	0.7615591883474756
1	CSU	False	news	True	2.3324384599156054	0.9080224564921695
1	CSU	False	search	True	2.1818435879447726	0.7807684832244635
1	CSU	True	news	True	2.3180633349627615	0.9280317992911049
1	CSU	True	search	True	2.322219294733919	0.7392336174669206
1	Cem Özdemir	False	news	False	2.3324384599156054	0.8717692488825194
1	Cem Özdemir	False	search	False	2.1818435879447726	0.7358781906760655
1	Cem Özdemir	True	news	False	2.3180633349627615	0.8920374926329833
1	Cem Özdemir	True	search	False	2.322219294733919	0.7251070089406806
1	Christian Lindner	False	news	False	2.3324384599156054	0.8796028087085761
1	Christian Lindner	False	search	False	2.1818435879447726	0.7599465264075
1	Christian Lindner	True	news	False	2.3180633349627615	0.8920670103513111
1	Christian Lindner	True	search	False	2.322219294733919	0.7431593384979783
1	Die Linke	False	news	True	2.3324384599156054	0.9142713831352615
1	Die Linke	False	search	True	2.1818435879447726	0.7784229673471177
1	Die Linke	True	news	True	2.3180633349627615	0.9218596446920118
1	Die Linke	True	search	True	2.322219294733919	0.7545702989209243
1	Dietmar Bartsch	False	news	False	2.3324384599156054	0.9024272489674288
1	Dietmar Bartsch	False	search	False	2.1818435879447726	0.7366018723815654
1	Dietmar Bartsch	True	news	False	2.3180633349627615	0.8886717222481231
1	Dietmar Bartsch	True	search	False	2.322219294733919	0.7048103889147078
1	FDP	False	news	True	2.3324384599156054	0.9205012503018826
1	FDP	False	search	True	2.1818435879447726	0.7699418859698594
1	FDP	True	news	True	2.3180633349627615	0.9189547405344104
1	FDP	True	search	True	2.322219294733919	0.7640299008121646
1	Katrin Göring-Eckardt	False	news	False	2.3324384599156054	0.895928740069739
1	Katrin Göring-Eckardt	False	search	False	2.1818435879447726	0.7184209164592481
1	Katrin Göring-Eckardt	True	news	False	2.3180633349627615	0.895765055654302
1	Katrin Göring-Eckardt	True	search	False	2.322219294733919	0.7081543276350692
1	Martin Schulz	False	news	False	2.3324384599156054	0.9101437697365552
1	Martin Schulz	False	search	False	2.1818435879447726	0.7616273453648428
1	Martin Schulz	True	news	False	2.3180633349627615	0.9287977907013817
1	Martin Schulz	True	search	False	2.322219294733919	0.749538298502532
1	SPD	False	news	True	2.3324384599156054	0.9427221858730966
1	SPD	False	search	True	2.1818435879447726	0.7966764919843534
1	SPD	True	news	True	2.3180633349627615	0.949687062803861
1	SPD	True	search	True	2.322219294733919	0.7790825104721385
1	Sahra Wagenknecht	False	news	False	2.3324384599156054	0.8863913218652439
1	Sahra Wagenknecht	False	search	False	2.1818435879447726	0.7386346575602271
1	Sahra Wagenknecht	True	news	False	2.3180633349627615	0.8778635521654432
1	Sahra Wagenknecht	True	search	False	2.322219294733919	0.7283199632761441
2	AfD	False	news	True	1.2041199826559248	0.946394630357186
2	AfD	False	search	True	1.1139433523068367	0.8975582717696603
2	AfD	True	news	True	1.591064607026499	0.9260460431681192
2	AfD	True	search	True	1.5185139398778875	0.8755785585693552
2	Alexander Gauland	False	news	False	1.2041199826559248	0.9315108495536182
2	Alexander Gauland	False	search	False	1.1139433523068367	0.8998041462090847
2	Alexander Gauland	True	news	False	1.591064607026499	0.9051627914269263
2	Alexander Gauland	True	search	False	1.5185139398778875	0.8720899565926046
2	Alice Weidel	False	news	False	1.2041199826559248	0.8112781244591328
2	Alice Weidel	False	search	False	1.1139433523068367	0.8858393734663998
2	Alice Weidel	True	news	False	1.591064607026499	0.877273614742141
2	Alice Weidel	True	search	False	1.5185139398778875	0.8513016139977229
2	Angela Merkel	False	news	False	1.2041199826559248	0.941432441572563
2	Angela Merkel	False	search	False	1.1139433523068367	0.857353370216217
2	Angela Merkel	True	news	False	1.591064607026499	0.9098838215415083
2	Angela Merkel	True	search	False	1.5185139398778875	0.7967403412587759
2	Bündnis90/Die Grünen	False	news	True	1.2041199826559248	0.8112781244591329
2	Bündnis90/Die Grünen	False	search	True	1.1139433523068367	0.8788451866789705
